date,fund_code,type,price,shares,value,reason
2025-09-29 14:45:47.654614,161725,买入,0.7909,1264.3823492224049,1000.0,手动买入 (预估净值: 0.7909)
2025-09-30 00:00:00.000000,161725,买入,0.7838000000000002,1275.835672365399,1000.0,手动买入 (预估净值: 0.7838)
